source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008440-Sample-35	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_30ter_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-36	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26Bqua_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-37	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26Aqua_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-38	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_36ter_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-39	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_10_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-40	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_19bis_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-41	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26A_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-42	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_7qua_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-43	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_35_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-44	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_21ter_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-45	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_30ter_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-46	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_4_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-47	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_12_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-48	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_2_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-49	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_22bis_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-50	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_3Bbis_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-51	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_19_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-52	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_35_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-53	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_12bis_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-54	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_18ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-55	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_29_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-56	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_22bis_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-57	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_22ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-58	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_17bis_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-59	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_6_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-60	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_10_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-61	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_25qua_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-62	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26B_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-63	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_19_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-64	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_4_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-65	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_19bis_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-66	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 66	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_22ter_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-67	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 67	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_21_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-68	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 68	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_3Abis_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
