source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	characteristics[enrichment method]	characteristics[enrichment process]	sampleChecksum	sampleAccession
PXD001558-sample 6 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120802_MLP_363216_Tio2ps130.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	29d2458e4486a7b118ff3d3e2d2b09ee3a9bb41ca38968e29d0157d2b51d95e1	SAMEA7714459
PXD001558-sample 6 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120326_MLP_363207_Tio2ps121.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	29d2458e4486a7b118ff3d3e2d2b09ee3a9bb41ca38968e29d0157d2b51d95e1	SAMEA7714459
PXD001558-sample 6 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120326_MLP_363207_Tio2ps120.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	29d2458e4486a7b118ff3d3e2d2b09ee3a9bb41ca38968e29d0157d2b51d95e1	SAMEA7714459
PXD001558-sample 7 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120823_MLP_363227_TiO2ps133.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	0a92a0090f941197ac5d7169b7b14f6a83179c232fa65627c716b45b5c6f2d15	SAMEA7714460
PXD001558-sample 7 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120823_MLP_363227_TiO2ps132.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	0a92a0090f941197ac5d7169b7b14f6a83179c232fa65627c716b45b5c6f2d15	SAMEA7714460
PXD001558-sample 7 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120326_MLP_363207_Tio2ps123.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	0a92a0090f941197ac5d7169b7b14f6a83179c232fa65627c716b45b5c6f2d15	SAMEA7714460
PXD001558-sample 7 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120326_MLP_363207_Tio2ps122.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	0a92a0090f941197ac5d7169b7b14f6a83179c232fa65627c716b45b5c6f2d15	SAMEA7714460
PXD001558-sample 5 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC014	20120516_psMLP119.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	enrichment of phosphorylated peptides	af0124487645f7920d0242b8d2ebd53bb3c4c5d6199d8a444b806ef0bde33c7b	SAMEA7714461
PXD001558-sample 5 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4176	SILAC014	20120601_psMLP118.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	enrichment of phosphorylated peptides	f54d5d6346d5b3fb34d5d970fcd49ceaf4f78727abca357953d0e4ae3b19b6ec	SAMEA7714462
PXD001558-sample 5 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4177	SILAC014	20120410_MLP_333195_TiO2ps117.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	d9ffc13c8d34f55a9f488d2cc5daea3a1930faa3923af4b6da39f41c121860c7	SAMEA7714463
PXD001558-sample 5 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4178	SILAC014	20120410_MLP_333195_TiO2ps116.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	f0e56e8a3c3addf1d279be0f4f051bea55ba4338c5cbe6817dff646ca9acba36	SAMEA7714464
PXD001558-sample 6 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4179	SILAC015	20120802_MLP_363216_Tio2ps131.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b5bc86f8cece12fb13236141b3e789dba3bfe636f27cdc0ab25fbad22289f992	SAMEA7714465
PXD001558-sample 6 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4180	SILAC015	20120802_MLP_363216_Tio2ps130.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a3a9c3e88b02b9761d6427e11259af4bf39d33ee30863ed4a28b323a32743790	SAMEA7714466
PXD001558-sample 6 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4181	SILAC015	20120326_MLP_363207_Tio2ps121.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	15f30934dc8d042f45db49f8ca9ad906a82245734c54dbb68d661d19e2c3f275	SAMEA7714467
PXD001558-sample 6 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4182	SILAC015	20120326_MLP_363207_Tio2ps120.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	bb7c89b79be539177f85820587d3d54512b79dd68477996f607998ebcf660d8f	SAMEA7714468
PXD001558-sample 7 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4183	SILAC016	20120823_MLP_363227_TiO2ps133.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	3729a30119419db1708ad8c44d4ad9df09abac19037735ce013967c5896d8c93	SAMEA7714469
PXD001558-sample 7 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4184	SILAC016	20120823_MLP_363227_TiO2ps132.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	ce2df66f348a8ec27373e2c6d9204d7867c45202b94b2668e9c15bb8779bb2ca	SAMEA7714470
PXD001558-sample 7 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4185	SILAC016	20120326_MLP_363207_Tio2ps123.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	11147e54b48a1e0ec70e22f58d4cf426c67878006b7c8f97d7f63809a4e9f4a9	SAMEA7714471
PXD001558-sample 7 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4186	SILAC016	20120326_MLP_363207_Tio2ps122.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	4706b00b561b1566cced67e192d9eb6da7d19dcaaddfe620c01cd9c197999e38	SAMEA7714472
PXD001558-sample 8 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps136T1.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c792e531f03ff60c46943750f1ff45500084f57aaf617949b0b48a2aa080866c	SAMEA7714473
PXD001558-sample 8 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps136T2.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c792e531f03ff60c46943750f1ff45500084f57aaf617949b0b48a2aa080866c	SAMEA7714473
PXD001558-sample 8 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps135T1_12101115.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c792e531f03ff60c46943750f1ff45500084f57aaf617949b0b48a2aa080866c	SAMEA7714473
PXD001558-sample 8 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps135T2.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c792e531f03ff60c46943750f1ff45500084f57aaf617949b0b48a2aa080866c	SAMEA7714473
PXD001558-sample 8 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps136T1.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8a33517db6f0222b6b161dbb02a42bf32d9ea25672be168df8c3d622a22ea506	SAMEA7714474
PXD001558-sample 8 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps136T2.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8a33517db6f0222b6b161dbb02a42bf32d9ea25672be168df8c3d622a22ea506	SAMEA7714474
PXD001558-sample 8 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps135T1_12101115.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8a33517db6f0222b6b161dbb02a42bf32d9ea25672be168df8c3d622a22ea506	SAMEA7714474
PXD001558-sample 8 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC017	20121010_MLP_363245_TiO2ps135T2.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8a33517db6f0222b6b161dbb02a42bf32d9ea25672be168df8c3d622a22ea506	SAMEA7714474
PXD001558-sample 8 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC017	20121010_MLP_363245_TiO2ps136T1.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	9ff61e4845eb39ff8be8a1a58e4cc955e6834702ecb7bc3ce59e340398a680c8	SAMEA7714475
PXD001558-sample 8 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC017	20121010_MLP_363245_TiO2ps136T2.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	9ff61e4845eb39ff8be8a1a58e4cc955e6834702ecb7bc3ce59e340398a680c8	SAMEA7714475
PXD001558-sample 8 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC017	20121010_MLP_363245_TiO2ps135T1_12101115.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	9ff61e4845eb39ff8be8a1a58e4cc955e6834702ecb7bc3ce59e340398a680c8	SAMEA7714475
PXD001558-sample 8 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC017	20121010_MLP_363245_TiO2ps135T2.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	9ff61e4845eb39ff8be8a1a58e4cc955e6834702ecb7bc3ce59e340398a680c8	SAMEA7714475
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139A.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139B.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139C.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139D.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139E.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP138T.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP137BT.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP137CT.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	f7cfa048f96759c9a6cf999039722e36beee1d16088ef60f76c25c83942216ec	SAMEA7714476
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139A.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139B.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139C.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139D.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20130115_MLP_363262_ps139E.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP138T.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP137BT.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC019	20121026_MLP_psMLP137CT.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c465584a2f2844a49afb6b321832bff39af9f17a8a202d3094209a8a0fa62f04	SAMEA7714477
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC019	20130115_MLP_363262_ps139A.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	7d85ca240ad21746b9ce8dc0269aa88187df36fea00d0aad1bf6d7fa29c3239a	SAMEA7714478
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4176	SILAC019	20130115_MLP_363262_ps139B.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	c07d4dc2724114688c483bf04aa4977411198f6d4ff3686c9a91aa5568a297f9	SAMEA7714479
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4177	SILAC019	20130115_MLP_363262_ps139C.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	fa8c2e47dd86f3578852175f4c4efd8e69067b5de421fa6003b75d425c099d84	SAMEA7714480
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4178	SILAC019	20130115_MLP_363262_ps139D.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	9073fa1fce2cee6d3e36d6c5d41908e6b51fb5ac05ff413174961e88d148a69c	SAMEA7714481
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4179	SILAC019	20130115_MLP_363262_ps139E.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	1081d5965bfedbe112d58fccd77c8a188ca498c5d9d0a82ad627905eae8a0bcb	SAMEA7714482
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4180	SILAC019	20121026_MLP_psMLP138T.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	91cc59cb9aa68e0cdacc774f9203cba5334129983ddba99f90911d937086d6f1	SAMEA7714483
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4181	SILAC019	20121026_MLP_psMLP137BT.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	04c1237891e407900a1d79085ab924f985badd800bf21fd9f766ac2228760fe4	SAMEA7714484
PXD001558-sample 9 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4182	SILAC019	20121026_MLP_psMLP137CT.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	37c43d0661cb18d5c42b9bd003cde0b2e09e6db447036ae7b1d05062d53a0c3f	SAMEA7714485
