source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003668-Sample-22	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20141013_QEp8_FaCo_SA_TU_LOV_2.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-23	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_COV318_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-24	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_HEYA8_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-25	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_HEYA8_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-26	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_JHOS2_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-27	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVCAR3_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-28	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVCAR3_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-29	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVKATE_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-30	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVKATE_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-31	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVCAR5_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-32	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-33	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVCAR5_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-34	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140709_QEp3_FaCo_SA_CL_59M_A.RAW	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-35	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVKATE_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-36	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20141013_QEp8_FaCo_SA_TU_ROV_4.RAW	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-37	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_OVSAHO_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-38	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_B.RAW	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-39	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-40	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_CAOV3_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-41	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_JHOS2_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-42	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20150305_QEp7_FaCo_SA_CL_COV318_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
