source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000561-Sample-401	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 401	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Frontalcortex_bRP_Elite_85_f04.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-402	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 402	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Heart_bRP_Elite_39_f16.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-403	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 403	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Platelets_Gel_Velos_36_f19.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-404	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 404	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Heart_Gel_Velos_73_f08.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-405	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 405	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Gut_bRP_Elite_17_f24.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-406	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 406	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_CD4Tcells_bRP_Velos_29_f20.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-407	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 407	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Adrenalgland_Gel_Elite_49_f21.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-408	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 408	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Ovary_bRP_Elite_25_f04.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-409	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 409	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Heart_bRP_Elite_20_f15.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-410	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 410	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Urinarybladder_bRP_Elite_71_f18.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-411	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 411	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Brain_Gel_Velos_16_f16.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-412	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 412	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Liver_Gel_Elite_83_f22.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-413	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 413	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Retina_bRP_Elite_64_f22.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-414	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 414	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_CD8Tcells_Gel_Velos_45_f18.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-415	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 415	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Gallbladder_Gel_Elite_52_f22.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-416	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 416	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Monocytes_bRP_Velos_31_f24.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-417	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 417	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Heart_bRP_Elite_39_f04.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-418	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 418	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_CD4Tcells_bRP_Elite_28_f19.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-419	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 419	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Colon_bRP_Elite_50_f16.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-420	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 420	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Liver_bRP_Elite_22_f16.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-421	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 421	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Heart_bRP_Elite_20_f10.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-422	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 422	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Ovary_Gel_Velos_74_f04.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-423	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 423	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_CD4Tcells_bRP_Velos_29_f05.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-424	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 424	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Ovary_Gel_Velos_74_f17.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-425	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 425	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Liver_bRP_Elite_22_f21.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-426	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 426	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Esophagus_Gel_Velos_4_f23.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-427	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 427	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Kidney_bRP_Velos_8_f19.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-428	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 428	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Liver_Gel_Velos_11_f23.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-429	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 429	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Monocytes_bRP_Velos_31_f08.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-430	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 430	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Monocytes_Gel_Velos_32_f01.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-431	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 431	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Heart_Gel_Velos_21_f05.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-432	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 432	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Fetal_Liver_bRP_Elite_23_f17.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-433	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 433	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_NKcells_bRP_Elite_34_f12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-434	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 434	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Colon_bRP_Elite_50_f04.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-435	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 435	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Urinarybladder_Gel_Elite_40_f21.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-436	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 436	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Spinalcord_Gel_Elite_67_f12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD000561-Sample-437	Homo sapiens	kidney	normal	hematopoietic cells	30	not available	adult, fetal	run 437	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	NT=Trypsin;AC=MS:1001251	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample type (adult tissues, fetal tissues, hematopoietic cells)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	Adult_Frontalcortex_bRP_Elite_85_f24.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
