source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012987-Sample-38	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02644.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-39	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04085.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-40	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03251.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-41	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03075.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-42	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03245.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-43	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04072.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-44	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04048.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-45	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04060.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-46	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04030.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-47	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03912.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-48	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03081.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-49	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04034.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-50	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03812.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-51	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04081.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-52	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04044.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-53	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02650.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-54	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03926.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-55	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04095.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-56	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03249.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-57	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03804.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-58	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04054.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-59	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03806.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-60	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04028.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-61	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04042.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-62	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04076.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-63	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04083.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-64	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03225.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-65	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04070.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-66	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 66	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03257.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-67	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 67	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04064.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-68	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 68	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03828.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-69	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 69	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03897.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-70	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 70	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03924.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-71	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 71	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03928.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-72	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 72	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03079.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-73	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03820.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-74	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04046.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-75	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03071.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
