source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011050-Sample-33	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR02_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-34	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR02_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-35	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR02_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-36	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR02_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-37	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_WT-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-38	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_WT-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-39	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_WT-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-40	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_WT-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-41	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-42	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-43	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-44	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-45	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_pssA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-46	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_pssA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-47	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_pssA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-48	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_pssA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-49	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-50	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-51	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-52	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-53	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-54	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-55	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-56	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-57	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_artA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-58	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_artA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-59	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_artA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-60	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_artA-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-61	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR01_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-62	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR01_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-63	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR01_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-64	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR01_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
