source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014557-Sample-80	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr10.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-81	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-82	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-83	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-84	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-85	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-86	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-87	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-88	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-89	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-90	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-91	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-92	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-93	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-94	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-95	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-96	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-97	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-98	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-99	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-100	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-101	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-102	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-103	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-104	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-105	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-106	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-107	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-108	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-109	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-110	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-111	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr14.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
PXD014557-Sample-112	Homo sapiens	hippocampus	alzheimer disease, healthy	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	300m/z-1700m/z	1 NCE	GMSFHH_human_microd_20171123_400ug_IPG3-10_fr14.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer disease, healthy
