source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD050244-Sample-34	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-35	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-36	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-37	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-38	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-39	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-40	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_2.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-41	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-42	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-43	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-44	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-45	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-46	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-47	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-48	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-49	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
PXD050244-Sample-50	Homo sapiens, Mus musculus	skin	melanoma	melanoma cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (GSNO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	6.9 ppm	9 ppm	N-ethylmaleimide	orbitrap	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	HAMLET-agentic v2.1.0	melanoma
