source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001558-Sample-28	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20130115_MLP_363262_ps139B.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-29	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20130115_MLP_363262_ps139D.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-30	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20130115_MLP_363262_ps139E.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-31	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_363207_Tio2ps122.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-32	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121010_MLP_363245_TiO2ps136T1.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-33	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121026_MLP_psMLP137AT.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-34	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120229_MLP_333188_ps111TiO2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-35	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120601_psMLP118.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-36	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120229_MLP_333188_ps109TiO2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-37	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps115.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-38	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121010_MLP_363245_TiO2ps136T2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-39	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121026_MLP_psMLP138T.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-40	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20130115_MLP_363262_ps139C.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-41	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps129.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-42	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20130115_MLP_363262_ps139A.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
