ID,PXD,Raw Data File,Characteristics[CleavageAgent],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[Modification].4,Characteristics[Modification].5,Characteristics[Modification].6,Characteristics[Organism],Characteristics[OrganismPart],Characteristics[ReductionReagent],Characteristics[Specimen],Characteristics[Treatment],FactorValue[Treatment],Comment[AcquisitionMethod],Comment[EnrichmentMethod],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GrowthRate],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionIdentifier],Comment[GradientTime],Comment[NumberOfFractions],Usage
1620,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BC2_o.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1621,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BC2_u.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1622,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BCt-gp2_o.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BCt”-gp2 pull down,anti-TMEM9B “T9BCt”-gp2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1623,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BCt-gp2_u.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BCt”-gp2 pull down,anti-TMEM9B “T9BCt”-gp2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1624,PXD061285,mousebrain-KO-Tmem9b-CL47-T9B-Proteintech-24331-1_o.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1625,PXD061285,mousebrain-KO-Tmem9b-CL47-T9B-Proteintech-24331-1_u.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1626,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-gp1_o.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” gp 1 pull down,anti-TMEM9 “T9AC2” gp 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1627,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-gp1_u.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” gp 1 pull down,anti-TMEM9 “T9AC2” gp 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1628,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-rb1_o.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1629,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-rb1_u.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1630,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-rb2_o.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9AC2” rb 2 pull down, anti-TMEM9 “T9AC2” rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1631,PXD061285,mousebrain-KO-Tmem9-CL47-T9AC2-rb2_u.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9AC2” rb 2 pull down, anti-TMEM9 “T9AC2” rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1632,PXD061285,mousebrain-KO-Tmem9-CL47-T9ACt-rb2_o.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9Act”-rb 2 pull down, anti-TMEM9 “T9Act”-rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1633,PXD061285,mousebrain-KO-Tmem9-CL47-T9ACt-rb2_u.raw,trypsin,TMEM9A double knockout,T9A−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9Act”-rb 2 pull down, anti-TMEM9 “T9Act”-rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1634,PXD061285,mousebrain-Venus-CLCN3-CL47-GFP-RnDSystems-AF4240_o.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1635,PXD061285,mousebrain-Venus-CLCN3-CL47-GFP-RnDSystems-AF4240_u.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1636,PXD061285,mousebrain-Venus-CLCN3-CL47-GFP-Roche-11814460001_o.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1637,PXD061285,mousebrain-Venus-CLCN3-CL47-GFP-Roche-11814460001_u.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1638,PXD061285,mousebrain-WT-CL47-IgG-control-1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1639,PXD061285,mousebrain-WT-CL47-IgG-control-1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1640,PXD061285,mousebrain-WT-CL47-IgG-control-2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1641,PXD061285,mousebrain-WT-CL47-IgG-control-2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
