ID,PXD,Raw Data File,Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[Time],Characteristics[Temperature],Characteristics[Treatment],Characteristics[Bait],FactorValue[Bait],Comment[AcquisitionMethod],Comment[EnrichmentMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FractionIdentifier],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[BiologicalReplicate],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[NumberOfFractions],Usage
380,PXD061195,01-037-VGL-20211019-nsp32-TMT16-80C_6.raw,HEK293T cells,Trypsin/Lys-C,TMT132C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,80% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
381,PXD061195,01-037-VGL-20211019-nsp32-TMT16-80C_6.raw,HEK293T cells,Trypsin/Lys-C,TMT133N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,80% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
382,PXD061195,01-037-VGL-20211019-nsp32-TMT16-80C_6.raw,HEK293T cells,Trypsin/Lys-C,TMT133C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,80% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
383,PXD061195,01-037-VGL-20211019-nsp32-TMT16-80C_6.raw,HEK293T cells,Trypsin/Lys-C,TMT134N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,80% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
384,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT126,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
385,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT127N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
386,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT127C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
387,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT128N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
388,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT128C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
389,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT129N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
390,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT129C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Beta 20H,Beta 20H,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
391,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT130N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Beta 20H,Beta 20H,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
392,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT130C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Beta 20H,Beta 20H,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
393,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT131N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Gamma 20J,Gamma 20J,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
394,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT131C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Gamma 20J,Gamma 20J,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
395,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT132N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Gamma 20J,Gamma 20J,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
396,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT132C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
397,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT133N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
398,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT133C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
399,PXD061195,01-037-VGL-20211019-nsp32-TMT16-90C10B_8.raw,HEK293T cells,Trypsin/Lys-C,TMT134N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I ,Alpha 20I ,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,90% C10% B,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
400,PXD061195,01-037-VGL-20211019-nsp32-TMT16-100C_7.raw,HEK293T cells,Trypsin/Lys-C,TMT126,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,100% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
401,PXD061195,01-037-VGL-20211019-nsp32-TMT16-100C_7.raw,HEK293T cells,Trypsin/Lys-C,TMT127N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,100% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
402,PXD061195,01-037-VGL-20211019-nsp32-TMT16-100C_7.raw,HEK293T cells,Trypsin/Lys-C,TMT127C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,100% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
403,PXD061195,01-037-VGL-20211019-nsp32-TMT16-100C_7.raw,HEK293T cells,Trypsin/Lys-C,TMT128N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,100% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
