ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[CleavageAgent],Characteristics[Disease],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[SamplingTime],Characteristics[Treatment],FactorValue[Disease],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[GrowthRate],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[NumberOfFractions],Usage
90,PXD062877,20240924_014_West_BMDM_2054_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
91,PXD062877,20240924_014_West_BMDM_2054_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
92,PXD062877,20240924_015_West_BMDM_2047_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
93,PXD062877,20240924_015_West_BMDM_2047_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
94,PXD062877,20240924_016_West_BMDM_2041_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
95,PXD062877,20240924_016_West_BMDM_2041_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
96,PXD062877,20240924_017_West_BMDM_2032_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
97,PXD062877,20240924_017_West_BMDM_2032_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
98,PXD062877,20240924_018_West_BMDM_2039_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
99,PXD062877,20240924_018_West_BMDM_2039_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
100,PXD062877,20240924_019_West_BMDM_2033_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
101,PXD062877,20240924_019_West_BMDM_2033_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
102,PXD062877,20240924_020_West_BMDM_2035_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
103,PXD062877,20240924_020_West_BMDM_2035_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
104,PXD062877,20240924_021_West_BMDM_2049_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
105,PXD062877,20240924_021_West_BMDM_2049_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
106,PXD062877,20240924_022_West_BMDM_2036_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
107,PXD062877,20240924_022_West_BMDM_2036_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
108,PXD062877,20240924_023_West_BMDM_2052_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
109,PXD062877,20240924_023_West_BMDM_2052_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
110,PXD062877,20240924_024_West_BMDM_2048_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
111,PXD062877,20240924_024_West_BMDM_2048_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
