source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD031991-Sample-53	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 53	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_12_01_PhyscoIV_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-54	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 54	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_07_01_2ug_HCD_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-55	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 55	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_28_01_Creo1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-56	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 56	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_02_03_Capsa1_PIC_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-57	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 57	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_34_01_Sycon3_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-58	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 58	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_15_01_Phyto3_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-59	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 59	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_011_01.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-60	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 60	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_30_04_CID_Corallochytrium.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-61	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 61	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_09_01_Creo1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-62	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 62	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_36_01_Physco3_old_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-63	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 63	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_09_04_Creolimax.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-64	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 64	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_02_03_Naeg2_HCD_Fusion.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-65	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 65	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_32_01_Sycon1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-66	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 66	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_37_01_Theca1_old_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-67	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 67	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_003_02.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-68	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 68	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160427_S_Histones_02_02_physco_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-69	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 69	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_02_01_Naeg_2_PIC_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-70	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 70	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160308_S_Histone_Human_PIC_01_01_2ug_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-71	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 71	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MZ002_CRNA_005_01_45pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-72	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 72	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_14_03_HCD_Phytophtora.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-73	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 73	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_14_01_Phyto2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-74	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 74	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_03_01_2ug_CID_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-75	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 75	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_09_01_Creo1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-76	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 76	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_14_04_CID_Phytophtora.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-77	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 77	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_004_02.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-78	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 78	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_01_03_Capsa1_PIC_I_prec_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-79	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 79	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_01_01_Bigello_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-80	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 80	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_25_01_Naegleria_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-81	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 81	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_27_01_Spizello2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-82	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 82	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MZ002_CRNA_003_01_45pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-83	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 83	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_31_01_Corallo2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-84	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 84	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_06_04_CID_Homo.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-85	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 85	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_17_01_Thalas1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-86	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 86	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_09_03_Creolimax.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-87	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 87	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_02_02_Naeg_2_PIC_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-88	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 88	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_17_01_Thalas1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-89	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 89	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_04_01_Acantha1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-90	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 90	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_01_01_Acanth_1_PIC_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-91	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 91	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_04_03_HCD_Acanthamoeba.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-92	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 92	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_02_04_Capsa1_PIC_II_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-93	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 93	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_10_01_Spizello1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-94	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 94	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150218_S_ASIR_04_01_Theca2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-95	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 95	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_01_02_Acanth_1_PIC_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-96	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 96	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_18_03_HCD_Thalassiossira.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-97	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 97	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_25_01_Naegleria_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-98	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 98	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_02_01_Theca1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-99	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 99	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_02_01_Theca1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-100	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 100	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_14_01_Phyto2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-101	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 101	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_36_01_Physco3_old_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-102	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 102	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_01_02_Capsa1_PIC_I_prec.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-103	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 103	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_08_01_Sycon2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-104	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 104	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_01_01_2ug_HCD_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-105	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 105	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_01_01_Capsa1_PIC_I_prec.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
