source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000282-Sample-31	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_7.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-32	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_9.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-33	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_12.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-34	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	8_CTR_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-35	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_20.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-36	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	6_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-37	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	3_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-38	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_8.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-39	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_20.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-40	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	9_CTR_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-41	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	5_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-42	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-43	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_5.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-44	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_10.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-45	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_13.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-46	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_13.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-47	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	5_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-48	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_2.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-49	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_9.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-50	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	12a_CTR_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-51	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	4_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-52	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	6_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-53	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_21.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-54	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_16.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-55	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	10_CTR_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-56	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_6.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-57	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_2.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-58	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_21.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-59	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	1_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-60	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	13_CTR_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-61	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_23.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-62	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_4.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-63	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_1.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-64	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_12.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-65	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	not applicable	not applicable	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_24.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
