source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000174-Sample-57	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-58	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-59	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX37.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-60	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-61	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX08.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-62	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-63	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-64	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-65	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX19.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-66	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 66	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX39.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-67	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 67	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-68	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 68	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-69	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 69	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX08.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-70	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 70	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-71	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 71	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-72	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 72	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-73	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-74	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX08.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-75	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_SCX32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-76	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 76	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-77	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 77	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-78	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 78	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_SCX33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-79	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX16.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-80	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-81	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-82	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-83	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-84	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 84	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_rerun_SCX28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-85	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 85	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-86	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 86	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-87	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 87	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX19.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-88	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 88	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX16.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-89	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 89	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-90	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 90	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX26.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-91	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 91	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX30.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-92	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 92	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-93	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 93	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-94	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 94	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-95	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 95	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX05.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-96	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 96	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-97	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 97	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-98	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 98	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX37.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-99	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 99	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-100	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 100	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-101	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 101	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX40.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-102	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 102	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-103	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 103	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-104	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 104	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX06.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-105	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 105	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-106	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 106	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-107	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 107	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX05.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-108	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 108	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-109	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 109	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX37.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-110	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 110	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-111	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 111	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-112	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 112	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-113	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 113	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX31.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-114	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 114	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX18.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-115	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 115	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX26.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
