source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000376-Sample-35	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-36	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B57.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-37	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B08.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-38	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	naive_CD4_RPLC_A12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-39	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	naive_CD4_RPLC_A1-A4_pool.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-40	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_SCX_later_Elite_f3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-41	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_SCX_later_Elite_f9.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-42	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_A5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-43	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive-CD4_in-gel_leftover_rerun_b11_exclusion.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-44	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_B2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-45	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	A7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-46	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_B12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-47	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_B8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-48	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-49	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_A8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-50	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-51	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	CD4_IG_core_5.RAW	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-52	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-53	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_early_SCX_Elite_f5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-54	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-55	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-56	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	A8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-57	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	CD4_IG_core_6.RAW	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-58	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_IG_A2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-59	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	A3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-60	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	CD4_IG_core_11.RAW	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-61	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-62	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B29.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-63	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B26.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-64	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	naive_CD4_RPLC_A5_r.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-65	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_early_SCX_Elite_f9.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-66	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 66	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B45.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-67	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 67	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_GelfrEE_B22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-68	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 68	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_early_SCX_Elite_f6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-69	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 69	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_SCX_later_Elite_f12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-70	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 70	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	naive_CD4_nuclear_RPLC_B5_111108141728.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-71	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 71	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	6 ppm	9 ppm	orbitrap	Naive_CD4_SCX_later_Elite_f13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
