source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000118-Sample-36	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-2_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-37	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	3-2_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-38	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_5mM_091003110320.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-39	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_20mM_091003145633.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-40	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-1_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-41	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	3-2_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-42	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-2_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-43	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-1_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-44	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-1_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-45	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-2_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-46	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-2_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-47	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_15mM_091003133905.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-48	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_40mM_091003184846.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
