source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000605-Sample-128	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-129	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-130	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-131	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-132	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-133	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-134	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-135	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-136	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-137	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-138	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-139	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-140	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-141	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-142	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-143	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-144	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-145	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-146	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-147	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-148	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-149	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-150	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-151	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-152	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-153	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-154	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-155	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-156	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-157	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-158	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-159	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-160	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-161	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-162	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-163	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-164	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_5.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-165	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-166	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-167	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-168	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_8.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-169	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-170	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-171	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-172	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-173	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-174	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-175	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-176	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
