source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030213-Sample-23	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-24	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-25	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-26	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-27	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-28	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT132N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-29	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT132C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-30	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT133N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-31	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT133C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD030213-Sample-32	Homo sapiens	kidney	normal	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT134N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132 only, MG-132 plus TL12–186)	NT=ubiquitinylated lysine;AC=MOD:01148;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=?;TA=CKST	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=?;TA=ST	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	stepped HCD of 28, 33, and 55	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
