source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD007073-Sample-42	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS30.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-43	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS31.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-44	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151002VS02.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-45	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150924VS05.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-46	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS69.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-47	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS58.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-48	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS30.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-49	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS44.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-50	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS61.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-51	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150823VS46.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-52	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS29.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-53	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS68.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-54	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 54	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS10.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-55	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 55	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS37.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-56	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS27.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-57	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS32.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-58	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 58	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS38.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-59	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 59	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS67.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-60	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 60	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS06.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-61	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 61	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS18.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-62	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 62	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS01.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-63	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 63	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151119VS31.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-64	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 64	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS33.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-65	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 65	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150924VS07.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-66	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 66	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS09.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-67	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 67	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151119VS32.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-68	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 68	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS07.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-69	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 69	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS15.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-70	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 70	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS26.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-71	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 71	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS01.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-72	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 72	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS24.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-73	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 73	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS35.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-74	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 74	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150823VS51.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-75	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 75	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS43.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-76	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 76	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS55.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-77	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 77	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS31.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-78	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 78	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS60.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-79	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 79	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS29.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-80	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 80	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150924VS06.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-81	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 81	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS28.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-82	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 82	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS41.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-83	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 83	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151002VS03.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
