source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[cell part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sampling time]	characteristics[phenotype]	characteristics[enrichment process]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[phenotype]	factor value[sampling time]	sampleChecksum	sampleAccession
PXD002870-CEJ_ISO_Heart_Cyto_d05	Mus musculus	CE/J	Heart	cardiac	Cytosol	9W-12W	normal	5	hypertrophy groups	enrichment of phosphorylated Protein	run 2	CEJ_ISO_Heart_Cyto_d05_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/CEJ_ISO_Heart_Cyto_d05_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	5	2255afc8c7c1fcb4f87f15f2aaee0fdfe939c678fc61bf24a80ad14b4a79c3be	SAMEA7712449
PXD002870-CEJ_ISO_Heart_Cyto_d07	Mus musculus	CE/J	Heart	cardiac	Cytosol	9W-12W	normal	7	hypertrophy groups	enrichment of phosphorylated Protein	run 2	CEJ_ISO_Heart_Cyto_d07_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/CEJ_ISO_Heart_Cyto_d07_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	7	b6f94fc44309f9ab829dd083d36f644d0be91364a245de03df5d0619efd0c67a	SAMEA7712450
PXD002870-CEJ_ISO_Heart_Cyto_d10	Mus musculus	CE/J	Heart	cardiac	Cytosol	9W-12W	normal	10	hypertrophy groups	enrichment of phosphorylated Protein	run 2	CEJ_ISO_Heart_Cyto_d10_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/CEJ_ISO_Heart_Cyto_d10_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	10	f4e6a880df7d10a555001c46fe2af5a97935ff5e0bf9313e7b10cac38fc2efda	SAMEA7712451
PXD002870-CEJ_ISO_Heart_Cyto_d14	Mus musculus	CE/J	Heart	cardiac	Cytosol	9W-12W	normal	14	hypertrophy groups	enrichment of phosphorylated Protein	run 2	CEJ_ISO_Heart_Cyto_d14_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/CEJ_ISO_Heart_Cyto_d14_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	14	b872c3c4e8733bdd8a1af89715204386ecf743501e54528d265de9f0eeb2511a	SAMEA7712452
PXD002870-DBA_CTRL_Heart_Cyto_d00	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	56d64be342775d83a2e39726f4cafb65e4eaef56d4164bce2006398ccc082bf4	SAMEA7712453
PXD002870-DBA_CTRL_Heart_Cyto_d01	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	1	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	1	8392d75fb58030c2131f1b2b635a4cd6ce8c1221ed8409e771b9a9c00c8d83e4	SAMEA7712454
PXD002870-DBA_CTRL_Heart_Cyto_d03	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	3	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d03_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d03_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	3	44187b24e87d426e6604321fcb025701722958a280f68a89cec43325e8e5de21	SAMEA7712455
PXD002870-DBA_CTRL_Heart_Cyto_d05	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	5	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d05_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d05_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	5	a8bb982a709c316ed0aa4200a77ae958ce25629af51e5f555183d5a94b3762eb	SAMEA7712456
PXD002870-DBA_CTRL_Heart_Cyto_d07	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	7	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d07_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d07_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	7	21f32688e8e62051f6fcfb48a8df636094cae307cfb4a9af7880cc4fb3dc202c	SAMEA7712457
PXD002870-DBA_CTRL_Heart_Cyto_d10	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	10	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d10_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d10_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	10	1c008e6b3a223a097b17680df94d91d8e736e9529ce29771ae663190f7dc65fd	SAMEA7712458
PXD002870-DBA_CTRL_Heart_Cyto_d14	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	14	Control	enrichment of phosphorylated Protein	run 2	DBA_CTRL_Heart_Cyto_d14_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_CTRL_Heart_Cyto_d14_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	14	8912dade144b2dd91abdb8efbe3da65fb759055c424183acef7deb6c0d9315d7	SAMEA7712459
PXD002870-DBA_ISO_Heart_Cyto_d01	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1	92c87cc060d3b4ef39ffd873b628d3294ca31bac8155d1f2c4a6e4c1ac413762	SAMEA7712460
PXD002870-DBA_ISO_Heart_Cyto_d03	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	3	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d03_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d03_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	3	9bd61c4efba255e72e2a035d4db9bfbb5b702dcc73ab59f8624b8bff0fe21006	SAMEA7712461
PXD002870-DBA_ISO_Heart_Cyto_d05	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	5	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d05_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d05_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	5	ec4b9cbe6d464b902881b6190686780126822136bbbe398f557e26d3afded9a2	SAMEA7712462
PXD002870-DBA_ISO_Heart_Cyto_d07	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	7	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d07_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d07_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	7	309f812d62f0e5c43f00dd8589bb0a349d682434ba0c8082859f7cdc1ceb4f2c	SAMEA7712463
PXD002870-DBA_ISO_Heart_Cyto_d10	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	10	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d10_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d10_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	10	fb007d99df78b71303abab1c72a3806297989b8e5d737db7f274ff6190a75832	SAMEA7712464
PXD002870-DBA_ISO_Heart_Cyto_d14	Mus musculus	DBA/2J	Heart	cardiac	Cytosol	9W-12W	normal	14	hypertrophy groups	enrichment of phosphorylated Protein	run 2	DBA_ISO_Heart_Cyto_d14_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/DBA_ISO_Heart_Cyto_d14_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	14	285813e6bcb8f74c89100046ce81252b27a2c0871a9ea3f1b4cccb1755fd5a76	SAMEA7712465
PXD002870-FVB_CTRL_Heart_Cyto_d00	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	6c5bc806c52a3cf5e2c55a747a8bd9f6e7bca7d5c546fdde1031e733ebe166a2	SAMEA7712466
PXD002870-FVB_CTRL_Heart_Cyto_d01	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	1	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	1	f1a4e8f801db0d72e337b95525da3ca01ab8dce9ef785f80494c4f0236373529	SAMEA7712467
PXD002870-FVB_CTRL_Heart_Cyto_d02	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	2	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d02_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d02_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	2	df7e699ae9e3e429ebdb62f3cfef5e85fc8c870242ecaf7a5dddf51fc0f0bff0	SAMEA7712468
PXD002870-FVB_CTRL_Heart_Cyto_d03	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	3	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d03_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d03_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	3	ed7a1678c5b6675fa557d4f372475020925509076a410d522068d2805a6d7cec	SAMEA7712469
PXD002870-FVB_CTRL_Heart_Cyto_d05	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	5	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d05_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d05_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	5	1e0489f04b2b4f7b3e0e22f3a7da4df4d9e34a9e1fed9462a32b1186fde1ffc4	SAMEA7712470
PXD002870-FVB_CTRL_Heart_Cyto_d07	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	7	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d07_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d07_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	7	e0bd30cd755b48455d55fd7846810e0af08c493e7571be1538e99bd04e1ba465	SAMEA7712471
PXD002870-FVB_CTRL_Heart_Cyto_d10	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	10	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d10_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d10_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	10	41362fee7bd5e0444a533f3c6e932f160560982ccf2b0b28a0b5b9718564b6ae	SAMEA7712472
PXD002870-FVB_CTRL_Heart_Cyto_d14	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	14	Control	enrichment of phosphorylated Protein	run 2	FVB_CTRL_Heart_Cyto_d14_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_CTRL_Heart_Cyto_d14_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	14	ede0c6489da22d5ae7df0645e016fae59d9e1888fce2878565bdb8c91efb2ad7	SAMEA7712473
PXD002870-FVB_ISO_Heart_Cyto_d01	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	enrichment of phosphorylated Protein	run 2	FVB_ISO_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_ISO_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1	8ceb9cd813078c8fbd2aaae3af49b4cf7735d85efc09c22cba110a8070b3d2b1	SAMEA7712474
PXD002870-FVB_ISO_Heart_Cyto_d03	Mus musculus	FVB/NJ	Heart	cardiac	Cytosol	9W-12W	normal	3	hypertrophy groups	enrichment of phosphorylated Protein	run 2	FVB_ISO_Heart_Cyto_d03_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/FVB_ISO_Heart_Cyto_d03_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	3	af389082997a71fca303e2fda296c3d522726b610a19b7f29e33710c1e5878bf	SAMEA7712475
