source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010603-Sample-79	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171018_JMM_MFG146_4.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-80	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171025_JMM_VC146_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-81	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171114_JMM_IPL405_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-82	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171025_JMM_VC146_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-83	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171117_JMM_VC405_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-84	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 84	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_A383_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-85	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 85	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_C383_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-86	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 86	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_IPL383_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-87	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 87	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171101_JMM_MFG383_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-88	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 88	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171114_JMM_EC405_10.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-89	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 89	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171002_JMM_A146_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-90	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 90	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171117_JMM_T405_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-91	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 91	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171117_JMM_T405_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-92	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 92	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171101_JMM_STG383_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-93	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 93	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171101_JMM_MFG383_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-94	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 94	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171116_JMM_STG405_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-95	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 95	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_EC383_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-96	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 96	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171113_JMM_CN405_4.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-97	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 97	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171103_JMM_A405_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-98	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 98	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_C383_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-99	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 99	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171103_JMM_VC383_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-100	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 100	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171116_JMM_STG405_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-101	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 101	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171117_JMM_VC405_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-102	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 102	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171116_JMM_STG405_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-103	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 103	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171002_JMM_C146_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-104	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 104	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171002_JMM_CN146_10.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-105	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 105	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171025_JMM_VC146_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-106	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 106	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171113_JMM_CN405_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-107	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 107	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171114_JMM_EC405_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-108	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 108	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171114_JMM_EC405_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-109	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 109	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171115_JMM_MFG405_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-110	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 110	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171113_JMM_CN405_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-111	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 111	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171114_JMM_EC405_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-112	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 112	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171025_JMM_VC146_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-113	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 113	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_CN383_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-114	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 114	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171103_JMM_A405_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-115	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 115	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171103_JMM_VC383_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-116	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 116	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171102_JMM_T383_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-117	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 117	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171017_JMM_IPL146_3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-118	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 118	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (neurofibrillary tangle quantity)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20171026_JMM_A383_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
