field,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
cleavage_agent,technical,GPT,Annotator2,GPT vs. any human annotator,11,
enrichment_method,technical,GPT,Annotator2,GPT vs. any human annotator,11,0.440677966101695
fractionation_method,technical,GPT,Annotator2,GPT vs. any human annotator,11,
reduction_reagent,technical,GPT,Annotator2,GPT vs. any human annotator,11,0.0
alkylation_reagent,technical,GPT,Annotator2,GPT vs. any human annotator,11,0.6206896551724135
collision_energy,technical,GPT,Annotator2,GPT vs. any human annotator,11,-0.13793103448275917
ionization_type,technical,GPT,Annotator2,GPT vs. any human annotator,11,-0.1702127659574468
mass_analyzer,technical,GPT,Annotator2,GPT vs. any human annotator,11,0.0
alkylation_concentration,technical,GPT,Annotator2,GPT vs. any human annotator,11,
reduction_concentration,technical,GPT,Annotator2,GPT vs. any human annotator,11,
ptm,technical,GPT,Annotator2,GPT vs. any human annotator,11,0.0
number_of_biological_replicates,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,0.0
number_of_technical_replicates,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,0.297872340425532
number_of_fractions,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,0.8135593220338982
factor_value,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,0.0
experimental_design,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,
number_of_samples,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,-0.09999999999999976
biological_replicate,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,
technical_replicate,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,0.0
technology_type,experimental_design,GPT,Annotator2,GPT vs. any human annotator,11,
species,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.0
tissue,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.23076923076923075
disease_state,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.6153846153846155
cell_type,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.0
cell_line,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.0
sex,biological,GPT,Annotator3,GPT vs. any human annotator,10,-0.1764705882352943
age,biological,GPT,Annotator3,GPT vs. any human annotator,10,-0.11111111111111124
sample_source,biological,GPT,Annotator3,GPT vs. any human annotator,10,
anatomic_site_tumor,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.41176470588235303
BMI,biological,GPT,Annotator3,GPT vs. any human annotator,10,
strain,biological,GPT,Annotator3,GPT vs. any human annotator,10,0.19999999999999996
developmental_stage,biological,GPT,Annotator3,GPT vs. any human annotator,10,
ethnicity,biological,GPT,Annotator3,GPT vs. any human annotator,10,
acquisition_method,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.2857142857142855
instrument,technical,GPT,Annotator3,GPT vs. any human annotator,10,
labeling,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.6153846153846153
fragmentation_method,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.19999999999999996
cleavage_agent,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.0
enrichment_method,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.2857142857142856
fractionation_method,technical,GPT,Annotator3,GPT vs. any human annotator,10,
reduction_reagent,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.0
alkylation_reagent,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.0
collision_energy,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.2857142857142855
ionization_type,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.13793103448275856
mass_analyzer,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.024390243902439043
alkylation_concentration,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.0
reduction_concentration,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.0
ptm,technical,GPT,Annotator3,GPT vs. any human annotator,10,0.2857142857142855
number_of_biological_replicates,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,-0.11111111111111124
number_of_technical_replicates,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,0.0
number_of_fractions,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,0.6000000000000001
factor_value,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,0.0
experimental_design,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,
number_of_samples,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,-0.15384615384615377
biological_replicate,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,
technical_replicate,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,0.0
technology_type,experimental_design,GPT,Annotator3,GPT vs. any human annotator,10,
species,biological,GPT,Annotator4,GPT vs. any human annotator,3,
tissue,biological,GPT,Annotator4,GPT vs. any human annotator,3,0.0
disease_state,biological,GPT,Annotator4,GPT vs. any human annotator,3,1.0
cell_type,biological,GPT,Annotator4,GPT vs. any human annotator,3,
cell_line,biological,GPT,Annotator4,GPT vs. any human annotator,3,1.0
sex,biological,GPT,Annotator4,GPT vs. any human annotator,3,
age,biological,GPT,Annotator4,GPT vs. any human annotator,3,
sample_source,biological,GPT,Annotator4,GPT vs. any human annotator,3,
anatomic_site_tumor,biological,GPT,Annotator4,GPT vs. any human annotator,3,
BMI,biological,GPT,Annotator4,GPT vs. any human annotator,3,
strain,biological,GPT,Annotator4,GPT vs. any human annotator,3,0.39999999999999986
developmental_stage,biological,GPT,Annotator4,GPT vs. any human annotator,3,
ethnicity,biological,GPT,Annotator4,GPT vs. any human annotator,3,
acquisition_method,technical,GPT,Annotator4,GPT vs. any human annotator,3,1.0
instrument,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
labeling,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
fragmentation_method,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
cleavage_agent,technical,GPT,Annotator4,GPT vs. any human annotator,3,
enrichment_method,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
fractionation_method,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
reduction_reagent,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
alkylation_reagent,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
collision_energy,technical,GPT,Annotator4,GPT vs. any human annotator,3,-0.5000000000000001
ionization_type,technical,GPT,Annotator4,GPT vs. any human annotator,3,-0.8
mass_analyzer,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
alkylation_concentration,technical,GPT,Annotator4,GPT vs. any human annotator,3,
reduction_concentration,technical,GPT,Annotator4,GPT vs. any human annotator,3,
ptm,technical,GPT,Annotator4,GPT vs. any human annotator,3,0.0
number_of_biological_replicates,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,
number_of_technical_replicates,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,
number_of_fractions,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,0.39999999999999986
factor_value,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,0.0
experimental_design,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,
number_of_samples,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,-3.3306690738754706e-16
biological_replicate,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,
technical_replicate,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,-8.326672684688674e-17
technology_type,experimental_design,GPT,Annotator4,GPT vs. any human annotator,3,-3.3306690738754706e-16
species,biological,GPT,Annotator5,GPT vs. any human annotator,9,0.0
tissue,biological,GPT,Annotator5,GPT vs. any human annotator,9,-0.1538461538461541
disease_state,biological,GPT,Annotator5,GPT vs. any human annotator,9,0.5714285714285714
cell_type,biological,GPT,Annotator5,GPT vs. any human annotator,9,
cell_line,biological,GPT,Annotator5,GPT vs. any human annotator,9,-3.3306690738754706e-16
sex,biological,GPT,Annotator5,GPT vs. any human annotator,9,-0.17391304347826084
age,biological,GPT,Annotator5,GPT vs. any human annotator,9,-0.17391304347826084
sample_source,biological,GPT,Annotator5,GPT vs. any human annotator,9,
anatomic_site_tumor,biological,GPT,Annotator5,GPT vs. any human annotator,9,
BMI,biological,GPT,Annotator5,GPT vs. any human annotator,9,
strain,biological,GPT,Annotator5,GPT vs. any human annotator,9,0.7272727272727271
developmental_stage,biological,GPT,Annotator5,GPT vs. any human annotator,9,
ethnicity,biological,GPT,Annotator5,GPT vs. any human annotator,9,
acquisition_method,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
instrument,technical,GPT,Annotator5,GPT vs. any human annotator,9,
labeling,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.18181818181818182
fragmentation_method,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
cleavage_agent,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
enrichment_method,technical,GPT,Annotator5,GPT vs. any human annotator,9,-3.3306690738754706e-16
fractionation_method,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.7272727272727272
reduction_reagent,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.7272727272727272
alkylation_reagent,technical,GPT,Annotator5,GPT vs. any human annotator,9,1.0
collision_energy,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
ionization_type,technical,GPT,Annotator5,GPT vs. any human annotator,9,-0.04651162790697674
mass_analyzer,technical,GPT,Annotator5,GPT vs. any human annotator,9,-8.326672684688674e-17
alkylation_concentration,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
reduction_concentration,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.0
ptm,technical,GPT,Annotator5,GPT vs. any human annotator,9,0.7692307692307692
number_of_biological_replicates,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,-3.3306690738754706e-16
number_of_technical_replicates,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,
number_of_fractions,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,0.608695652173913
factor_value,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,0.0
experimental_design,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,
number_of_samples,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,-0.09756097560975609
biological_replicate,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,
technical_replicate,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,0.0
technology_type,experimental_design,GPT,Annotator5,GPT vs. any human annotator,9,
species,biological,GPT,Annotator6,GPT vs. any human annotator,10,
tissue,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.3999999999999999
disease_state,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.782608695652174
cell_type,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.0
cell_line,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.6000000000000001
sex,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.0
age,biological,GPT,Annotator6,GPT vs. any human annotator,10,
sample_source,biological,GPT,Annotator6,GPT vs. any human annotator,10,
anatomic_site_tumor,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.0
BMI,biological,GPT,Annotator6,GPT vs. any human annotator,10,
strain,biological,GPT,Annotator6,GPT vs. any human annotator,10,0.41176470588235303
developmental_stage,biological,GPT,Annotator6,GPT vs. any human annotator,10,
ethnicity,biological,GPT,Annotator6,GPT vs. any human annotator,10,
acquisition_method,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
instrument,technical,GPT,Annotator6,GPT vs. any human annotator,10,
labeling,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
fragmentation_method,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
cleavage_agent,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
enrichment_method,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.13793103448275856
fractionation_method,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.41176470588235303
reduction_reagent,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.6153846153846153
alkylation_reagent,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.2857142857142855
collision_energy,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.05405405405405403
ionization_type,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.05405405405405403
mass_analyzer,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.09090909090909098
alkylation_concentration,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
reduction_concentration,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.0
ptm,technical,GPT,Annotator6,GPT vs. any human annotator,10,0.6153846153846153
number_of_biological_replicates,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,
number_of_technical_replicates,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.0
number_of_fractions,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.0
factor_value,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.0
experimental_design,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,
number_of_samples,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.19999999999999996
biological_replicate,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.0
technical_replicate,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,0.0
technology_type,experimental_design,GPT,Annotator6,GPT vs. any human annotator,10,
species,biological,GPT,Annotator7,GPT vs. any human annotator,9,0.0
tissue,biological,GPT,Annotator7,GPT vs. any human annotator,9,-9.992007221626408e-17
disease_state,biological,GPT,Annotator7,GPT vs. any human annotator,9,1.0
cell_type,biological,GPT,Annotator7,GPT vs. any human annotator,9,
cell_line,biological,GPT,Annotator7,GPT vs. any human annotator,9,0.27027027027027023
sex,biological,GPT,Annotator7,GPT vs. any human annotator,9,0.608695652173913
age,biological,GPT,Annotator7,GPT vs. any human annotator,9,1.0
sample_source,biological,GPT,Annotator7,GPT vs. any human annotator,9,
anatomic_site_tumor,biological,GPT,Annotator7,GPT vs. any human annotator,9,0.0
BMI,biological,GPT,Annotator7,GPT vs. any human annotator,9,
strain,biological,GPT,Annotator7,GPT vs. any human annotator,9,-3.3306690738754706e-16
developmental_stage,biological,GPT,Annotator7,GPT vs. any human annotator,9,
ethnicity,biological,GPT,Annotator7,GPT vs. any human annotator,9,
acquisition_method,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.25
instrument,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.0
labeling,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.0
fragmentation_method,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.11764705882352934
cleavage_agent,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.0
enrichment_method,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.11764705882352934
fractionation_method,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.5263157894736842
reduction_reagent,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.25
alkylation_reagent,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.5714285714285714
collision_energy,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.0
ionization_type,technical,GPT,Annotator7,GPT vs. any human annotator,9,-0.12500000000000008
mass_analyzer,technical,GPT,Annotator7,GPT vs. any human annotator,9,-6.245004513516506e-17
alkylation_concentration,technical,GPT,Annotator7,GPT vs. any human annotator,9,
reduction_concentration,technical,GPT,Annotator7,GPT vs. any human annotator,9,
ptm,technical,GPT,Annotator7,GPT vs. any human annotator,9,0.0
number_of_biological_replicates,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,
number_of_technical_replicates,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,
number_of_fractions,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,0.769230769230769
factor_value,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,-6.245004513516506e-17
experimental_design,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,
number_of_samples,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,-0.4210526315789475
biological_replicate,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,
technical_replicate,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,0.0
technology_type,experimental_design,GPT,Annotator7,GPT vs. any human annotator,9,
species,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.0
tissue,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.09836065573770482
disease_state,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.8135593220338982
cell_type,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.0
cell_line,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.12698412698412678
sex,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.42105263157894746
age,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.42105263157894746
sample_source,biological,GPT,Annotator8,GPT vs. any human annotator,11,
anatomic_site_tumor,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.0
BMI,biological,GPT,Annotator8,GPT vs. any human annotator,11,
strain,biological,GPT,Annotator8,GPT vs. any human annotator,11,0.2903225806451612
developmental_stage,biological,GPT,Annotator8,GPT vs. any human annotator,11,
ethnicity,biological,GPT,Annotator8,GPT vs. any human annotator,11,
acquisition_method,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.4210526315789474
instrument,technical,GPT,Annotator8,GPT vs. any human annotator,11,
labeling,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
fragmentation_method,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
cleavage_agent,technical,GPT,Annotator8,GPT vs. any human annotator,11,
enrichment_method,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.4761904761904763
fractionation_method,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
reduction_reagent,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
alkylation_reagent,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
collision_energy,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.15384615384615385
ionization_type,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
mass_analyzer,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.21428571428571427
alkylation_concentration,technical,GPT,Annotator8,GPT vs. any human annotator,11,1.0
reduction_concentration,technical,GPT,Annotator8,GPT vs. any human annotator,11,1.0
ptm,technical,GPT,Annotator8,GPT vs. any human annotator,11,0.0
number_of_biological_replicates,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,1.0
number_of_technical_replicates,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,0.12000000000000012
number_of_fractions,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,0.6333333333333334
factor_value,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,0.0
experimental_design,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,6.106226635438359e-16
number_of_samples,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,-0.06451612903225817
biological_replicate,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,
technical_replicate,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,6.784696261598178e-17
technology_type,experimental_design,GPT,Annotator8,GPT vs. any human annotator,11,
species,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
tissue,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.18181818181818182
disease_state,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.5263157894736842
cell_type,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
cell_line,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.769230769230769
sex,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.7272727272727271
age,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.608695652173913
sample_source,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
anatomic_site_tumor,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
BMI,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
strain,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
developmental_stage,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
ethnicity,biological,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
acquisition_method,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
instrument,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
labeling,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
fragmentation_method,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
cleavage_agent,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
enrichment_method,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.769230769230769
fractionation_method,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
reduction_reagent,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.7692307692307692
alkylation_reagent,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
collision_energy,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
ionization_type,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
mass_analyzer,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.18181818181818193
alkylation_concentration,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,-6.245004513516506e-17
reduction_concentration,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,-6.245004513516506e-17
ptm,technical,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
number_of_biological_replicates,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
number_of_technical_replicates,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.608695652173913
number_of_fractions,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.27027027027027023
factor_value,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.11764705882352934
experimental_design,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,
number_of_samples,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.3720930232558139
biological_replicate,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
technical_replicate,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.0
technology_type,experimental_design,HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,1.0
species,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
tissue,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6206896551724139
disease_state,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
cell_type,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6206896551724139
cell_line,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.5600000000000002
sex,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6206896551724138
age,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.0
sample_source,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
anatomic_site_tumor,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.0
BMI,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
strain,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.7441860465116279
developmental_stage,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
ethnicity,biological,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
acquisition_method,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.7924528301886792
instrument,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
labeling,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
fragmentation_method,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
cleavage_agent,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
enrichment_method,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
fractionation_method,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
reduction_reagent,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6206896551724139
alkylation_reagent,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
collision_energy,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
ionization_type,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
mass_analyzer,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.35294117647058826
alkylation_concentration,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,6.784696261598178e-17
reduction_concentration,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,6.784696261598178e-17
ptm,technical,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,1.0
number_of_biological_replicates,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.7924528301886792
number_of_technical_replicates,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.8135593220338982
number_of_fractions,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.8196721311475409
factor_value,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6206896551724135
experimental_design,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
number_of_samples,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.4761904761904763
biological_replicate,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
technical_replicate,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
technology_type,experimental_design,HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,
species,biological,HarmonizedHuman,Annotator3,HarmonizedHuman vs. Single/MultiHuman annotator,10,0.5454545454545456
tissue,biological,HarmonizedHuman,Annotator3,HarmonizedHuman vs. Single/MultiHuman annotator,10,0.6153846153846155
