source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015744-Sample-33	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_A1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-34	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-35	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-36	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-37	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_G4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-38	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_N2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-39	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_Q3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-40	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_A2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-41	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_P4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-42	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_D4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-43	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_B1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-44	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_S1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-45	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_T2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-46	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_O3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-47	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_S3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-48	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_M5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-49	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_E2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-50	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_Q2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-51	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-52	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_T1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-53	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_G5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-54	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_O5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-55	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_G3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-56	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-57	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_E1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-58	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_B4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-59	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_A4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-60	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_D1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-61	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_L2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-62	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-63	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_O2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-64	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_L5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-65	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_D5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
