source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD019113-Sample-31	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_04_AB_DDA_142.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-32	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_20_phos_DDA_138.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-33	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_11_AB_DIA_148.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-34	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_24_phos_DIA_117.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-35	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_22_AB_DIA_163.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-36	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_19_AB_DDA_162.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-37	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_15_AB_DIA_153.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-38	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_03_phos_DIA_111.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-39	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_24_phos_DDA_118.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-40	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_17_phos_DIA_132.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-41	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_11_phos_DIA_124.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-42	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_12_AB_DIA_149.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-43	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_22_phos_DIA_115.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-44	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_12_phos_DIA_125.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-45	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_17_AB_DIA_156.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-46	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_02_AB_DIA_140.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-47	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_10_phos_DIA_123.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-48	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_20_AB_DIA_160.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-49	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 49	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_05_phos_DDA_114.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-50	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 50	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_18_AB_DIA_157.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-51	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 51	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_15_phos_DIA_129.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-52	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 52	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_02_phos_DIA_112.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-53	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 53	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_04_AB_DIA_143.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-54	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 54	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_07_phos_DIA_119.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-55	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 55	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_23_AB_DIA_164.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-56	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 56	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_20_phos_DIA_136.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-57	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 57	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_07_AB_DIA_143.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-58	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 58	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_19_AB_DIA_159.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-59	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 59	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_03_phos_DDA_111.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-60	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 60	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_13_phos_DIA_127.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-61	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 61	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_11_phos_DDA_126.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
