source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008012-Sample-45	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B19C.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-46	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B3B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-47	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B1B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-48	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B2B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-49	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 49	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B7B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-50	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 50	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C3.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-51	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 51	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C10_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-52	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 52	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B17A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-53	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 53	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B18A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-54	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 54	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C8.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-55	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 55	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B15B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-56	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 56	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B21B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-57	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 57	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B45A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-58	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 58	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B21A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-59	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 59	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B36A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-60	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 60	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B18B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-61	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 61	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B16A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-62	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 62	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C4c.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-63	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 63	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B20A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-64	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 64	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C10.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-65	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 65	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-66	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 66	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B7B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-67	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 67	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C4b_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-68	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 68	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-69	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 69	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B19C_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-70	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 70	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B43B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-71	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 71	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B45A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-72	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 72	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B17B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-73	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 73	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B38A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-74	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 74	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B43A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-75	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 75	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B5B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-76	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 76	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B6B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-77	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 77	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B9B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-78	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 78	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B8A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-79	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 79	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B8B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-80	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 80	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B10A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-81	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 81	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B14B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-82	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 82	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B12A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-83	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 83	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B20C.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-84	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 84	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B4B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-85	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 85	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B5A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-86	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 86	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B2A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-87	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 87	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B1B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-88	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 88	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C3_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-89	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 89	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B10A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
