source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013923-Sample-34	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_ERKi_30min_S07_8_131122105649.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-35	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_P03.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-36	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_S07_8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-37	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_P4.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-38	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_S03_4_5_6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-39	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_P04.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-40	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	2013114_CCS_ERKi_30min_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-41	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_P01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-42	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi_V3_30min_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-43	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	2013114_CCS_MEKi_30min_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-44	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131114_CCS_EV_A375_RAFi_30min_S01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-45	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_MEKi_30min_S015.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-46	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi30min_V3_S02_12.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-47	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_P5.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-48	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_S01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-49	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140210_KMJ_CCS_MEKi30min_V3_S09_10_11.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-50	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_S013_14.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-51	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_S02_12.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-52	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_P03.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-53	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi30min_V3_S013_14.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-54	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140207_KMJ_CCS_RAFi30min_V3_S015.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-55	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140210_KMJ_CCS_MEKi30min_V3_S07_8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-56	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140207_KMJ_CCS_RAFi30min_V3_S09_10_11.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-57	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 57	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_S015.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-58	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 58	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_MEKi_30min_S02_12.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-59	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 59	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140207_KMJ_CCS_RAFi30min_V3_S03_4_5_6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-60	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 60	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140211_KMJ_CCS_RAFi_V3_30min_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-61	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 61	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-62	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 62	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_S013_14.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-63	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 63	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi_V3_30min_P04.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-64	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 64	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	2013114_CCS_ERKi_30min_P03.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-65	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 65	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_MEKi_30min_S01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-66	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 66	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-67	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 67	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
