source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021874-Sample-40	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 40	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_SN_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-41	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 41	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_SN_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-42	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 42	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_Mem_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-43	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 43	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_Mem_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-44	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 44	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_Cyt_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-45	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 45	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_SN_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-46	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 46	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_Cyt_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-47	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 47	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_Mem_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-48	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 48	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_SN_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-49	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 49	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_SN_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-50	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 50	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_Cyt_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-51	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 51	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_SN_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-52	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 52	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_Mem_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-53	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 53	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_Cyt_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-54	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 54	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_Mem_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-55	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 55	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_Mem_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-56	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 56	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_SN_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-57	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 57	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_SN_Try_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-58	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 58	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_Cyt_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-59	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 59	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_SN_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-60	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 60	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_Mem_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-61	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 61	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_Cyt_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-62	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 62	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_SN_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
