source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014145-Sample-39	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-40	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-41	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-42	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-43	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-44	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-45	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-46	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-47	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-48	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-49	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-50	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-51	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-52	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-53	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-54	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-55	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-56	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-57	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-58	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-59	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-60	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-61	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-62	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-63	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-64	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-65	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-66	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-67	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-68	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-69	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-70	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-71	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-72	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-73	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-74	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-75	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-76	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-77	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
