source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD009602-Sample-128	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 128	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_21_HLA-class_I_CRC_malignant_Rep5.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-129	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 129	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_1_HLA-class_I_NMT_benign_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-130	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 130	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_5_HLA-class_I_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-131	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 131	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_I_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-132	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 132	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_15_HLA-class_I_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-133	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 133	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_7_HLA-class_II_NMT_benign_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-134	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 134	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_35_HLA-class_I_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-135	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 135	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_I_CRC_malignant_PA2_pre-adjustment.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-136	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 136	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_20_HLA-class_I_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-137	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 137	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_II_NMT_benign_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-138	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 138	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_33_HLA-class_I_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-139	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 139	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_II_NMT_benign_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-140	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 140	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_II_NMT_benign_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-141	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 141	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_16_HLA-class_I_CRC_malignant_R2_remnant.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-142	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 142	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_18_HLA-class_II_NMT_benign_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-143	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 143	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_1_HLA-class_I_NMT_benign_Rep3.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-144	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 144	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_16_HLA-class_I_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-145	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 145	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_21_HLA-class_I_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-146	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 146	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_5_HLA-class_I_NMT_benign_Rep5.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-147	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 147	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_20_HLA-class_I_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-148	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 148	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_26_HLA-class_I_CRC_malignant_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-149	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 149	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_5_HLA-class_II_CRC_malignant_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-150	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 150	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_1_HLA-class_I_CRC_malignant_Rep4.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-151	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 151	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_7_HLA-class_I_CRC_malignant_R2_remnant.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-152	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 152	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_28_HLA-class_I_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-153	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 153	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_I_NMT_benign_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-154	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 154	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_I_NMT_benign_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-155	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 155	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_20_HLA-class_II_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-156	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 156	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_8_HLA-class_II_NMT_benign_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-157	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 157	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_30_HLA-class_I_CRC_malignant_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-158	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 158	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_23_HLA-class_I_NMT_benign_Rep3.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-159	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 159	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_I_CRC_malignant_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-160	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 160	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_22_HLA-class_I_CRC_malignant_R2_remnant.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-161	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 161	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_18_HLA-class_II_CRC_malignant_Rep5.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-162	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 162	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_I_CRC_malignant_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-163	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 163	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_II_CRC_malignant_R2_remnant.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-164	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 164	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_8_HLA-class_II_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-165	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 165	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_18_HLA-class_I_CRC_malignant_Rep5.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-166	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 166	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_18_HLA-class_II_CRC_malignant_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-167	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 167	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_5_HLA-class_I_NMT_benign_Rep3.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-168	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 168	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_8_HLA-class_II_NMT_benign_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-169	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 169	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_18_HLA-class_I_CRC_malignant_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-170	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 170	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_6_HLA-class_I_CRC_malignant_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-171	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 171	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_9_HLA-class_II_CRC_malignant_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-172	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 172	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_4_HLA-class_I_CRC_malignant_Rep4.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-173	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 173	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_16_HLA-class_II_CRC_malignant_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-174	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 174	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_19_HLA-class_II_NMT_benign_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-175	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 175	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_II_NMT_benign_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-176	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 176	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_31_HLA-class_II_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-177	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 177	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_3_HLA-class_II_CRC_malignant_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-178	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 178	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_II_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-179	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 179	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_15_HLA-class_I_NMT_benign_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-180	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 180	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_II_CRC_malignant_PA_pre-adjustment.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-181	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 181	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_22_HLA-class_I_CRC_malignant_R1_remnant.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-182	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 182	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_19_HLA-class_I_NMT_benign_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-183	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 183	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_II_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-184	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 184	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_22_HLA-class_I_CRC_malignant_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-185	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 185	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_26_HLA-class_I_NMT_benign_Rep5.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-186	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 186	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_36_HLA-class_I_NMT_benign_Rep4.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-187	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 187	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_4_HLA-class_I_CRC_malignant_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-188	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 188	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_19_HLA-class_I_NMT_benign_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-189	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 189	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_20_HLA-class_I_CRC_malignant_PA_pre-adjustment.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-190	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 190	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_II_NMT_benign_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-191	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 191	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_19_HLA-class_I_CRC_malignant_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-192	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 192	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_31_HLA-class_I_NMT_benign_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-193	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 193	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_28_HLA-class_I_CRC_malignant_Rep4.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-194	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 194	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_37_HLA-class_I_NMT_benign_Rep1.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-195	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 195	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_I_CRC_malignant_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-196	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 196	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_14_HLA-class_II_CRC_malignant_Rep2.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-197	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 197	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_5_HLA-class_II_CRC_malignant_Rep3.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-198	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 198	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_I_NMT_benign_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
